,ID,Date,Guilty,心理諮商,鑑定書,測謊鑑定,驗傷診斷書,通話紀錄,對話紀錄,坦承,指述,繪圖,輔導紀錄,同事關係,同居關係,按摩,男女朋友
0,臺灣高等法院臺南分院105年侵上訴字第919號刑事判決,民國105年12月30日,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,臺灣臺東地方法院105年軍原侵訴字第2號刑事判決,民國105年12月29日,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,臺灣高雄地方法院105年侵訴字第60號刑事判決,民國105年12月26日,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,臺灣臺南地方法院105年侵訴字第62號刑事判決,民國105年12月16日,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
4,臺灣高等法院105年侵上訴字第182號刑事判決,民國105年12月13日,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0
5,福建金門地方法院105年侵訴字第1號刑事判決,民國105年12月08日,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
6,臺灣宜蘭地方法院104年侵訴字第34號刑事判決,民國105年12月07日,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,臺灣士林地方法院105年侵訴字第8號刑事判決,民國105年12月06日,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
8,臺灣臺南地方法院105年侵訴字第32號刑事判決,民國105年11月30日,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
9,臺灣士林地方法院105年侵訴字第7號刑事判決,民國105年11月30日,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
10,臺灣高等法院105年侵上訴字第213號刑事判決,民國105年11月22日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
11,臺灣臺中地方法院105年侵訴字第177號刑事判決,民國105年11月17日,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
12,臺灣新北地方法院105年侵訴字第106號刑事判決,民國105年11月17日,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
13,臺灣高等法院105年侵上訴字第171號刑事判決,民國105年11月01日,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
14,臺灣新北地方法院104年侵訴字第181號刑事判決,民國105年10月31日,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1
15,臺灣高等法院臺中分院105年侵上訴字第109號刑事判決,民國105年10月20日,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
16,臺灣臺中地方法院105年侵訴字第102號刑事判決,民國105年10月12日,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
